soundID	trial	list	verb	animal	with	object
88	1	1	0	0.803881357	1.125842121	1.44392384
103	2	1	0	0.730483407	1.065753137	1.322135871
58	3	1	0	0.927381524	1.352324097	1.811262076
9	4	1	0	0.722845753	1.439779639	1.932074241
75	5	1	0	0.854550086	1.303391759	1.704143252
15	6	1	0	0.601433233	1.24511009	1.645445696
40	7	1	0	0.829264321	1.373345315	1.771255296
23	8	1	0	0.718657234	1.118743262	1.659065629
95	9	1	0	0.615883847	1.011772895	1.380756862
72	10	1	0	0.722861927	1.444511349	1.930729044
5	11	1	0	0.847691935	1.52405324	1.961157486
96	12	1	0	0.681770416	1.429223707	1.87413638
29	13	1	0	0.891327589	1.283152152	1.94925391
51	14	1	0	0.647252306	1.222170256	1.646014875
37	15	1	0	0.634584259	1.060816665	1.355030184
80	16	1	0	0.620966771	1.301758494	1.739410317
44	17	1	0	0.625065407	1.294941394	1.785842882
6	18	1	0	0.636353432	1.06119487	1.555116217
21	19	1	0	1.12311214	1.708076097	2.124184478
32	20	1	0	0.722801286	1.216546356	1.646703046
7	21	1	0	0.574272998	0.998731213	1.378509615
57	22	1	0	0.936144235	1.570779187	2.108523306
94	23	1	0	0.723120986	1.183412131	1.544502599
17	24	1	0	0.671938435	1.192561136	1.578207582
76	25	1	0	0.623402383	1.142116634	1.549107816
61	26	1	0	0.635835026	1.383946076	1.94162886
73	27	1	0	1.066067076	1.740894759	2.40180847
89	28	1	0	1.000952079	1.616583424	2.054912942
105	29	1	0	0.803512863	1.200911725	1.602206655
100	30	1	0	0.829804207	1.327941779	1.685013844
66	31	1	0	0.860551582	1.516470467	1.855738856
39	32	1	0	0.766290824	1.270880705	1.678757525
90	33	1	0	0.595337601	1.174834719	1.552442519
18	34	1	0	1.148177687	1.91462527	2.35746165
68	35	1	0	0.882294218	1.257582626	1.641304481
53	36	1	0	0.979597672	1.3405742	1.741659231
45	37	1	0	0.692693263	1.285557966	1.603470922
86	38	1	0	0.857119554	1.33503553	2.01856652
31	39	1	0	0.793479769	1.173734786	1.742115968
79	40	1	0	0.832677856	1.341646859	1.880851645
1	41	1	0	0.62702461	1.289052222	1.774944047
81	42	1	0	0.707273582	1.087927847	1.475902387
26	43	1	0	0.953161219	1.645492279	2.0934712
59	44	1	0	0.567730929	1.154340761	1.515026536
62	45	1	0	0.936575452	1.444929327	1.958366741
41	46	1	0	0.578961725	1.285884684	1.692072461
64	47	1	0	0.62605226	1.246065948	1.656153741
97	48	1	0	0.906740746	1.508124656	1.951249643
49	49	1	0	0.676094368	1.188543091	1.566779053
47	50	1	0	0.604215035	1.177753556	1.628390966
63	51	1	0	0.562582297	1.226153077	1.736592139
54	52	1	0	0.8129129	1.671116173	2.102537278
22	53	1	0	1.019228969	1.669448305	2.191755641
19	54	1	0	1.074042877	1.523610819	2.223506364
